serial_no,college_id,college_name,college_type,state,place,exam_type,category,opening_cutoff_rank,closing_cutoff_rank,seats,year,website,background_images
1,C421,Dayananda Sagar College of Engineering (DSCE),MCA,Karnataka,Bengaluru,PGCET,GM,387,3821,33,2023,https://dsce.edu.in,
2,C421,Dayananda Sagar College of Engineering (DSCE),MCA,Karnataka,Bengaluru,PGCET,OBC,1824,5276,21,2023,https://dsce.edu.in,
3,C421,Dayananda Sagar College of Engineering (DSCE),MCA,Karnataka,Bengaluru,PGCET,SC,5239,9325,5,2023,https://dsce.edu.in,
4,C421,Dayananda Sagar College of Engineering (DSCE),MCA,Karnataka,Bengaluru,PGCET,ST,1487,5733,3,2023,https://dsce.edu.in,
5,C414,BMS College of Engineering (BMSCE),MCA,Karnataka,Bengaluru,PGCET,GM,1368,2133,29,2023,https://bmsce.ac.in,
6,C414,BMS College of Engineering (BMSCE),MCA,Karnataka,Bengaluru,PGCET,OBC,1054,3632,20,2023,https://bmsce.ac.in,
7,C414,BMS College of Engineering (BMSCE),MCA,Karnataka,Bengaluru,PGCET,SC,6767,12027,3,2023,https://bmsce.ac.in,
8,C414,BMS College of Engineering (BMSCE),MCA,Karnataka,Bengaluru,PGCET,ST,6639,9983,2,2023,https://bmsce.ac.in,
9,C463,RV College of Engineering (RVCE),MCA,Karnataka,Bengaluru,PGCET,GM,80,664,28,2023,https://rvce.edu.in,
10,C463,RV College of Engineering (RVCE),MCA,Karnataka,Bengaluru,PGCET,OBC,1691,3601,19,2023,https://rvce.edu.in,
11,C463,RV College of Engineering (RVCE),MCA,Karnataka,Bengaluru,PGCET,SC,437,594,4,2023,https://rvce.edu.in,
12,C463,RV College of Engineering (RVCE),MCA,Karnataka,Bengaluru,PGCET,ST,375,872,3,2023,https://rvce.edu.in,
13,C457,PES University (RR Campus),MCA,Karnataka,Bengaluru,PGCET,GM,253,2171,30,2023,https://pes.edu,
14,C457,PES University (RR Campus),MCA,Karnataka,Bengaluru,PGCET,OBC,877,5033,20,2023,https://pes.edu,
15,C457,PES University (RR Campus),MCA,Karnataka,Bengaluru,PGCET,SC,6052,13974,4,2023,https://pes.edu,
16,C457,PES University (RR Campus),MCA,Karnataka,Bengaluru,PGCET,ST,6144,15747,2,2023,https://pes.edu,
17,C524,Acharya Institute of Technology (AIT),MCA,Karnataka,Bengaluru,PGCET,GM,949,1673,34,2023,https://acharya.ac.in,
18,C524,Acharya Institute of Technology (AIT),MCA,Karnataka,Bengaluru,PGCET,OBC,2115,3080,20,2023,https://acharya.ac.in,
19,C524,Acharya Institute of Technology (AIT),MCA,Karnataka,Bengaluru,PGCET,SC,3743,9980,5,2023,https://acharya.ac.in,
20,C524,Acharya Institute of Technology (AIT),MCA,Karnataka,Bengaluru,PGCET,ST,5034,13192,1,2023,https://acharya.ac.in,
21,C521,CMR Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,GM,299,2637,26,2023,https://cmrit.ac.in,
22,C521,CMR Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,OBC,1654,4785,18,2023,https://cmrit.ac.in,
23,C521,CMR Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,SC,7678,9898,4,2023,https://cmrit.ac.in,
24,C521,CMR Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,ST,7484,12602,1,2023,https://cmrit.ac.in,
25,C453,New Horizon College of Engineering,MCA,Karnataka,Bengaluru,PGCET,GM,414,3720,32,2023,https://newhorizonindia.edu,
26,C453,New Horizon College of Engineering,MCA,Karnataka,Bengaluru,PGCET,OBC,1883,3424,17,2023,https://newhorizonindia.edu,
