serial_no,college_id,college_name,college_type,state,place,exam_type,category,opening_cutoff_rank,closing_cutoff_rank,seats,year,website,background_images
1,T822,DSCE,MTECH,Karnataka,Bengaluru,PGCET,GM,600,1100,24,2023,https://dsce.edu.in,
2,T822,DSCE,MTECH,Karnataka,Bengaluru,PGCET,OBC,480,1200,18,2023,https://dsce.edu.in,
3,T822,DSCE,MTECH,Karnataka,Bengaluru,PGCET,SC,1100,2600,6,2023,https://dsce.edu.in,
4,T822,DSCE,MTECH,Karnataka,Bengaluru,PGCET,ST,1200,1900,4,2023,https://dsce.edu.in,
5,T857,RVCE,MTECH,Karnataka,Bengaluru,PGCET,GM,140,700,18,2023,https://rvce.edu.in,
6,T857,RVCE,MTECH,Karnataka,Bengaluru,PGCET,OBC,320,800,12,2023,https://rvce.edu.in,
7,T857,RVCE,MTECH,Karnataka,Bengaluru,PGCET,SC,800,1200,4,2023,https://rvce.edu.in,
8,T857,RVCE,MTECH,Karnataka,Bengaluru,PGCET,ST,900,1500,3,2023,https://rvce.edu.in,
9,T845,MSRIT,MTECH,Karnataka,Bengaluru,PGCET,GM,180,880,24,2023,https://msrit.edu,
10,T845,MSRIT,MTECH,Karnataka,Bengaluru,PGCET,OBC,460,900,18,2023,https://msrit.edu,
11,T845,MSRIT,MTECH,Karnataka,Bengaluru,PGCET,SC,800,1000,5,2023,https://msrit.edu,
12,T845,MSRIT,MTECH,Karnataka,Bengaluru,PGCET,ST,700,900,4,2023,https://msrit.edu,
13,T856,PES University,MTECH,Karnataka,Bengaluru,PGCET,GM,160,750,12,2023,https://pes.edu,
14,T856,PES University,MTECH,Karnataka,Bengaluru,PGCET,OBC,350,900,8,2023,https://pes.edu,
15,T856,PES University,MTECH,Karnataka,Bengaluru,PGCET,SC,200,900,3,2023,https://pes.edu,
16,T856,PES University,MTECH,Karnataka,Bengaluru,PGCET,ST,900,1100,2,2023,https://pes.edu,
17,T809,BMSCE,MTECH,Karnataka,Bengaluru,PGCET,GM,210,550,24,2023,https://bmsce.ac.in,
18,T809,BMSCE,MTECH,Karnataka,Bengaluru,PGCET,OBC,480,900,20,2023,https://bmsce.ac.in,
19,T809,BMSCE,MTECH,Karnataka,Bengaluru,PGCET,SC,1500,2400,7,2023,https://bmsce.ac.in,
20,T809,BMSCE,MTECH,Karnataka,Bengaluru,PGCET,ST,1700,1900,4,2023,https://bmsce.ac.in,
21,T873,SJCE,MTECH,Karnataka,Mysore,PGCET,GM,260,880,18,2023,https://jssstuniv.in,
22,T873,SJCE,MTECH,Karnataka,Mysore,PGCET,OBC,520,900,12,2023,https://jssstuniv.in,
23,T873,SJCE,MTECH,Karnataka,Mysore,PGCET,SC,900,1100,6,2023,https://jssstuniv.in,
24,T873,SJCE,MTECH,Karnataka,Mysore,PGCET,ST,1000,1500,4,2023,https://jssstuniv.in,
25,T838 ,KLE Tech,MTECH,Karnataka,Belagavi,PGCET,GM,320,1200,24,2023,https://kletech.ac.in,
26,T838 ,KLE Tech,MTECH,Karnataka,Belagavi,PGCET,OBC,650,2900,18,2023,https://kletech.ac.in,
27,T838 ,KLE Tech,MTECH,Karnataka,Belagavi,PGCET,SC,2100,6400,6,2023,https://kletech.ac.in,
28,T838 ,KLE Tech,MTECH,Karnataka,Belagavi,PGCET,ST,1600,5900,4,2023,https://kletech.ac.in,
29,T864,SDMCET,MTECH,Karnataka,Dharwad,PGCET,GM,1150,5800,18,2023,https://sdmcet.ac.in,
30,T864,SDMCET,MTECH,Karnataka,Dharwad,PGCET,OBC,1800,6500,12,2023,https://sdmcet.ac.in,
31,T864,SDMCET,MTECH,Karnataka,Dharwad,PGCET,SC,3300,8200,6,2023,https://sdmcet.ac.in,
32,T864,SDMCET,MTECH,Karnataka,Dharwad,PGCET,ST,2300,8600,4,2023,https://sdmcet.ac.in,
33,T816 ,KLE ,MTECH,Karnataka,Hubballi,PGCET,GM,320,1200,24,2023,https://kletech.ac.in,
34,T816 ,KLE ,MTECH,Karnataka,Hubballi,PGCET,OBC,650,2900,18,2023,https://kletech.ac.in,
35,T816 ,KLE ,MTECH,Karnataka,Hubballi,PGCET,SC,2100,6400,6,2023,https://kletech.ac.in,
36,T816 ,KLE ,MTECH,Karnataka,Hubballi,PGCET,ST,1600,6900,4,2023,https://kletech.ac.in,
37,T614,MIT Thandavapura,MTECH,Karnataka,Mysore,PGCET,GM,1650,6200,18,2023,https://mitt.edu.in,
38,T614,MIT Thandavapura,MTECH,Karnataka,Mysore,PGCET,OBC,2300,7000,12,2023,https://mitt.edu.in,
39,T614,MIT Thandavapura,MTECH,Karnataka,Mysore,PGCET,SC,3800,8800,6,2023,https://mitt.edu.in,
40,T614,MIT Thandavapura,MTECH,Karnataka,Mysore,PGCET,ST,2600,9200,4,2023,https://mitt.edu.in,
41,T946,REVA University,MTECH,Karnataka,Bengaluru,PGCET,GM,1300,3000,24,2023,https://reva.edu.in,
42,T946,REVA University,MTECH,Karnataka,Bengaluru,PGCET,OBC,2100,3800,16,2023,https://reva.edu.in,
43,T946,REVA University,MTECH,Karnataka,Bengaluru,PGCET,SC,3800,7000,8,2023,https://reva.edu.in,
44,T946,REVA University,MTECH,Karnataka,Bengaluru,PGCET,ST,2800,6400,4,2023,https://reva.edu.in,
45,T610,CMR / CMRIT,MTECH,Karnataka,Bengaluru,PGCET,GM,1700,6400,18,2023,https://cmrit.ac.in,
46,T610,CMR / CMRIT,MTECH,Karnataka,Bengaluru,PGCET,OBC,2600,7200,12,2023,https://cmrit.ac.in,
47,T610,CMR / CMRIT,MTECH,Karnataka,Bengaluru,PGCET,SC,4500,9600,6,2023,https://cmrit.ac.in,
48,T610,CMR / CMRIT,MTECH,Karnataka,Bengaluru,PGCET,ST,3200,10000,4,2023,https://cmrit.ac.in,
49,T949,BMSIT,MTECH,Karnataka,Bengaluru,PGCET,GM,1020,5400,18,2023,https://bmsit.ac.in,
50,T949,BMSIT,MTECH,Karnataka,Bengaluru,PGCET,OBC,1800,6200,12,2023,https://bmsit.ac.in,
51,T949,BMSIT,MTECH,Karnataka,Bengaluru,PGCET,SC,3600,8400,6,2023,https://bmsit.ac.in,
52,T949,BMSIT,MTECH,Karnataka,Bengaluru,PGCET,ST,2300,9000,4,2023,https://bmsit.ac.in,
53,T850,New Horizon COE,MTECH,Karnataka,Bengaluru,PGCET,GM,1500,6300,18,2023,https://newhorizon.edu.in,
54,T850,New Horizon COE,MTECH,Karnataka,Bengaluru,PGCET,OBC,2400,6900,12,2023,https://newhorizon.edu.in,
55,T850,New Horizon COE,MTECH,Karnataka,Bengaluru,PGCET,SC,4200,9000,6,2023,https://newhorizon.edu.in,
56,T850,New Horizon COE,MTECH,Karnataka,Bengaluru,PGCET,ST,3100,9500,4,2023,https://newhorizon.edu.in,
57,T983 ,PRESIDENCY UNIVERSITY,MTECH,Karnataka,Bengaluru,PGCET,GM,1080,5200,24,2023,https://presidencyuniversity.in,
58,T983 ,PRESIDENCY UNIVERSITY,MTECH,Karnataka,Bengaluru,PGCET,OBC,1800,6100,18,2023,https://presidencyuniversity.in,
59,T983 ,PRESIDENCY UNIVERSITY,MTECH,Karnataka,Bengaluru,PGCET,SC,3400,7800,6,2023,https://presidencyuniversity.in,
60,T983 ,PRESIDENCY UNIVERSITY,MTECH,Karnataka,Bengaluru,PGCET,ST,2500,8300,4,2023,https://presidencyuniversity.in,
61,T822,DSCE,MTECH,Karnataka,Bengaluru,PGCET,GM,590,1090,23,2024,https://dsce.edu.in,
62,T822,DSCE,MTECH,Karnataka,Bengaluru,PGCET,OBC,470,1190,17,2024,https://dsce.edu.in,
